"ID","Science_Center","File_Path","biomass|b|abundance","spawning biomass|sb|spawning stock biomass|ssb|spawning stock output|sso|mature biomass|spawners","unfished|virgin|initial|equilibrium|unfished equilibrium","recruitment","recruits|recruit|age-0 fish|age-1 fish","catch|total mortality|harvest","catch per unit effort|cpue|catch rate|index of abundance|catch per effort|fishing success","landings|retained catch","spawning per recruit|spawning potential ratio|spr","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality rate|f|instantaneous fishing mortality rate|harvest rate|exploitation rate|finite fishing mortality|apical f","fishing mortality at maximum sustainable yield|fmsy","weight|mass","length composition|length frequency|length observation","age composition|age frequency|age observation","projection|forecast|prediction","sex|gender","natural log of unfished recruitment|lnr0|logr0|logr_0|log(r0)|r0","plus group"
"1","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIatf.pdf",1,1,0,0,0,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0
"2","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIatka.pdf",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
"3","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIocto.pdf",1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,0,0
"4","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIoflat (8).pdf",1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0
"5","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIorock (5).pdf",1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,1,0,0,0
"6","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIpop.pdf",1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0
"7","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIrocksole.pdf",1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1
"8","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIrougheye (2).pdf",1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1
"9","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIskate.pdf",1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"10","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/EBSpcod.pdf",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
"11","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/EBSPollock.pdf",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
"12","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/GOAdeepflat.pdf",1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0
"13","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/GOAskate (9).pdf",1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0
"14","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/PIRKC.pdf",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0
"15","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/sablefish.pdf",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
"16","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/SAFE_snow.pdf",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0
"17","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_FLD_GMGB_RPT.pdf",1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0
"18","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_FLW_GM_RPT_Update_report_08_26_095440 (1).pdf",1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
"19","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_Herring_Unit_Report.pdf",1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0
"20","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_HKR_SNEMA_RPT.pdf",1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0
"21","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_HKS_GM_RPT.pdf",1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0
"22","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_scallop_unit_maindoc_rev.pdf",1,1,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,0
"23","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_COD_GB_REPORT_ver3.pdf",1,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0
"24","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_scup_MTA_report.pdf",1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,0,1,0,0,0
"25","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_summer_flounder_MTA_report.pdf",1,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0
"26","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/4d_SkateAssessmentUpdate_July_2020.pdf",1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0
